year,city,country,avg_temp,mov_avg_10
1743,Charlotte,United States,9.39,
1744,Charlotte,United States,17.49,
1745,Charlotte,United States,9.51,
1746,Charlotte,United States,,
1747,Charlotte,United States,,
1748,Charlotte,United States,,
1749,Charlotte,United States,,
1750,Charlotte,United States,16.6,
1751,Charlotte,United States,17.35,
1752,Charlotte,United States,10.51,13.475
1753,Charlotte,United States,15.98,14.57333333
1754,Charlotte,United States,16.12,14.345
1755,Charlotte,United States,13.75,15.05166667
1756,Charlotte,United States,16.17,15.21142857
1757,Charlotte,United States,15.64,15.265
1758,Charlotte,United States,14.52,15.18222222
1759,Charlotte,United States,15.52,15.216
1760,Charlotte,United States,14.15,14.971
1761,Charlotte,United States,16.54,14.89
1762,Charlotte,United States,15.95,15.434
1763,Charlotte,United States,14.01,15.237
1764,Charlotte,United States,15.95,15.22
1765,Charlotte,United States,15.6,15.405
1766,Charlotte,United States,16.43,15.431
1767,Charlotte,United States,15.23,15.39
1768,Charlotte,United States,14.83,15.421
1769,Charlotte,United States,15.69,15.438
1770,Charlotte,United States,15.55,15.578
1771,Charlotte,United States,16.49,15.573
1772,Charlotte,United States,16.2,15.598
1773,Charlotte,United States,16.36,15.833
1774,Charlotte,United States,15.94,15.832
1775,Charlotte,United States,16.8,15.952
1776,Charlotte,United States,15.66,15.875
1777,Charlotte,United States,15.49,15.901
1778,Charlotte,United States,13.27,15.745
1779,Charlotte,United States,8.94,15.07
1780,Charlotte,United States,,15.01666667
1781,Charlotte,United States,16.11,14.97444444
1782,Charlotte,United States,15.63,14.91111111
1783,Charlotte,United States,15.37,14.80111111
1784,Charlotte,United States,15.3,14.73
1785,Charlotte,United States,15.12,14.54333333
1786,Charlotte,United States,15.67,14.54444444
1787,Charlotte,United States,15.7,14.56777778
1788,Charlotte,United States,16.21,14.89444444
1789,Charlotte,United States,15.96,15.67444444
1790,Charlotte,United States,15.86,15.693
1791,Charlotte,United States,16.04,15.686
1792,Charlotte,United States,15.53,15.676
1793,Charlotte,United States,16.14,15.753
1794,Charlotte,United States,16.23,15.846
1795,Charlotte,United States,15.93,15.927
1796,Charlotte,United States,15.71,15.931
1797,Charlotte,United States,15.68,15.929
1798,Charlotte,United States,16.44,15.952
1799,Charlotte,United States,16.09,15.965
1800,Charlotte,United States,15.98,15.977
1801,Charlotte,United States,16.34,16.007
1802,Charlotte,United States,16.57,16.111
1803,Charlotte,United States,16.44,16.141
1804,Charlotte,United States,16.36,16.154
1805,Charlotte,United States,16.58,16.219
1806,Charlotte,United States,16.03,16.251
1807,Charlotte,United States,15.81,16.264
1808,Charlotte,United States,15.8,16.2
1809,Charlotte,United States,15.01,16.092
1810,Charlotte,United States,15.19,16.013
1811,Charlotte,United States,15.34,15.913
1812,Charlotte,United States,14.45,15.701
1813,Charlotte,United States,15.46,15.603
1814,Charlotte,United States,15.22,15.489
1815,Charlotte,United States,14.87,15.318
1816,Charlotte,United States,14.46,15.161
1817,Charlotte,United States,14.5,15.03
1818,Charlotte,United States,15.08,14.958
1819,Charlotte,United States,15.25,14.982
1820,Charlotte,United States,15.3,14.993
1821,Charlotte,United States,15.05,14.964
1822,Charlotte,United States,16.21,15.14
1823,Charlotte,United States,15.49,15.143
1824,Charlotte,United States,16.21,15.242
1825,Charlotte,United States,16.6,15.415
1826,Charlotte,United States,16.27,15.596
1827,Charlotte,United States,16.72,15.818
1828,Charlotte,United States,18.07,16.117
1829,Charlotte,United States,15.99,16.191
1830,Charlotte,United States,17.57,16.418
1831,Charlotte,United States,15.49,16.462
1832,Charlotte,United States,16.27,16.468
1833,Charlotte,United States,16.31,16.55
1834,Charlotte,United States,16.94,16.623
1835,Charlotte,United States,16.07,16.57
1836,Charlotte,United States,15.41,16.484
1837,Charlotte,United States,16.17,16.429
1838,Charlotte,United States,15.84,16.206
1839,Charlotte,United States,16.23,16.23
1840,Charlotte,United States,16.42,16.115
1841,Charlotte,United States,15.97,16.163
1842,Charlotte,United States,16.25,16.161
1843,Charlotte,United States,15.25,16.055
1844,Charlotte,United States,16.14,15.975
1845,Charlotte,United States,15.86,15.954
1846,Charlotte,United States,16.15,16.028
1847,Charlotte,United States,15.61,15.972
1848,Charlotte,United States,15.88,15.976
1849,Charlotte,United States,15.8,15.933
1850,Charlotte,United States,16.07,15.898
1851,Charlotte,United States,16.04,15.905
1852,Charlotte,United States,16.07,15.887
1853,Charlotte,United States,16.21,15.983
1854,Charlotte,United States,16.64,16.033
1855,Charlotte,United States,16.13,16.06
1856,Charlotte,United States,15.01,15.946
1857,Charlotte,United States,15.03,15.888
1858,Charlotte,United States,16.01,15.901
1859,Charlotte,United States,15.92,15.913
1860,Charlotte,United States,16.21,15.927
1861,Charlotte,United States,15.95,15.918
1862,Charlotte,United States,16.09,15.92
1863,Charlotte,United States,15.59,15.858
1864,Charlotte,United States,15.57,15.751
1865,Charlotte,United States,16.22,15.76
1866,Charlotte,United States,15.83,15.842
1867,Charlotte,United States,15.85,15.924
1868,Charlotte,United States,15.29,15.852
1869,Charlotte,United States,15.79,15.839
1870,Charlotte,United States,15.94,15.812
1871,Charlotte,United States,16.44,15.861
1872,Charlotte,United States,14.95,15.747
1873,Charlotte,United States,15.32,15.72
1874,Charlotte,United States,16.19,15.782
1875,Charlotte,United States,15.21,15.681
1876,Charlotte,United States,15.41,15.639
1877,Charlotte,United States,15.7,15.624
1878,Charlotte,United States,16.11,15.706
1879,Charlotte,United States,16.17,15.744
1880,Charlotte,United States,16.33,15.783
1881,Charlotte,United States,16.54,15.793
1882,Charlotte,United States,16.19,15.917
1883,Charlotte,United States,16.24,16.009
1884,Charlotte,United States,15.98,15.988
1885,Charlotte,United States,14.83,15.95
1886,Charlotte,United States,15.06,15.915
1887,Charlotte,United States,15.69,15.914
1888,Charlotte,United States,15.82,15.885
1889,Charlotte,United States,15.82,15.85
1890,Charlotte,United States,16.68,15.885
1891,Charlotte,United States,15.54,15.785
1892,Charlotte,United States,15.28,15.694
1893,Charlotte,United States,15.7,15.64
1894,Charlotte,United States,16.09,15.651
1895,Charlotte,United States,15.04,15.672
1896,Charlotte,United States,16.5,15.816
1897,Charlotte,United States,16,15.847
1898,Charlotte,United States,15.77,15.842
1899,Charlotte,United States,15.8,15.84
1900,Charlotte,United States,16.18,15.79
1901,Charlotte,United States,14.86,15.722
1902,Charlotte,United States,15.65,15.759
1903,Charlotte,United States,15.39,15.728
1904,Charlotte,United States,14.99,15.618
1905,Charlotte,United States,15.55,15.669
1906,Charlotte,United States,15.88,15.607
1907,Charlotte,United States,15.89,15.596
1908,Charlotte,United States,16.09,15.628
1909,Charlotte,United States,15.93,15.641
1910,Charlotte,United States,15.5,15.573
1911,Charlotte,United States,16.8,15.767
1912,Charlotte,United States,15.53,15.755
1913,Charlotte,United States,16.31,15.847
1914,Charlotte,United States,15.73,15.921
1915,Charlotte,United States,15.82,15.948
1916,Charlotte,United States,16.16,15.976
1917,Charlotte,United States,15.06,15.893
1918,Charlotte,United States,16.06,15.89
1919,Charlotte,United States,16.6,15.957
1920,Charlotte,United States,15.41,15.948
1921,Charlotte,United States,17.1,15.978
1922,Charlotte,United States,16.66,16.091
1923,Charlotte,United States,16.21,16.081
1924,Charlotte,United States,15.29,16.037
1925,Charlotte,United States,16.84,16.139
1926,Charlotte,United States,16.15,16.138
1927,Charlotte,United States,16.88,16.32
1928,Charlotte,United States,15.7,16.284
1929,Charlotte,United States,15.93,16.217
1930,Charlotte,United States,16.05,16.281
1931,Charlotte,United States,16.8,16.251
1932,Charlotte,United States,16.83,16.268
1933,Charlotte,United States,17.08,16.355
1934,Charlotte,United States,16.21,16.447
1935,Charlotte,United States,16.27,16.39
1936,Charlotte,United States,16.3,16.405
1937,Charlotte,United States,16.02,16.319
1938,Charlotte,United States,16.9,16.439
1939,Charlotte,United States,16.93,16.539
1940,Charlotte,United States,15.33,16.467
1941,Charlotte,United States,16.59,16.446
1942,Charlotte,United States,16.22,16.385
1943,Charlotte,United States,16.16,16.293
1944,Charlotte,United States,16.14,16.286
1945,Charlotte,United States,16.55,16.314
1946,Charlotte,United States,16.82,16.366
1947,Charlotte,United States,15.71,16.335
1948,Charlotte,United States,16.4,16.285
1949,Charlotte,United States,16.93,16.285
1950,Charlotte,United States,16.37,16.389
1951,Charlotte,United States,16.37,16.367
1952,Charlotte,United States,16.61,16.406
1953,Charlotte,United States,16.9,16.48
1954,Charlotte,United States,16.78,16.544
1955,Charlotte,United States,16.39,16.528
1956,Charlotte,United States,16.65,16.511
1957,Charlotte,United States,16.64,16.604
1958,Charlotte,United States,15.32,16.496
1959,Charlotte,United States,16.38,16.441
1960,Charlotte,United States,15.53,16.357
1961,Charlotte,United States,15.92,16.312
1962,Charlotte,United States,16.13,16.264
1963,Charlotte,United States,15.5,16.124
1964,Charlotte,United States,15.91,16.037
1965,Charlotte,United States,16.31,16.029
1966,Charlotte,United States,15.4,15.904
1967,Charlotte,United States,15.68,15.808
1968,Charlotte,United States,15.49,15.825
1969,Charlotte,United States,15.47,15.734
1970,Charlotte,United States,16.32,15.813
1971,Charlotte,United States,16.24,15.845
1972,Charlotte,United States,15.96,15.828
1973,Charlotte,United States,16.37,15.915
1974,Charlotte,United States,16.64,15.988
1975,Charlotte,United States,16.55,16.012
1976,Charlotte,United States,15.45,16.017
1977,Charlotte,United States,16.28,16.077
1978,Charlotte,United States,15.78,16.106
1979,Charlotte,United States,15.76,16.135
1980,Charlotte,United States,16.08,16.111
1981,Charlotte,United States,15.73,16.06
1982,Charlotte,United States,16.35,16.099
1983,Charlotte,United States,15.72,16.034
1984,Charlotte,United States,16.36,16.006
1985,Charlotte,United States,16.53,16.004
1986,Charlotte,United States,17.15,16.174
1987,Charlotte,United States,16.31,16.177
1988,Charlotte,United States,15.68,16.167
1989,Charlotte,United States,16.09,16.2
1990,Charlotte,United States,17.69,16.361
1991,Charlotte,United States,17.06,16.494
1992,Charlotte,United States,16.01,16.46
1993,Charlotte,United States,16.4,16.528
1994,Charlotte,United States,16.42,16.534
1995,Charlotte,United States,16.33,16.514
1996,Charlotte,United States,15.85,16.384
1997,Charlotte,United States,16.05,16.358
1998,Charlotte,United States,17.56,16.546
1999,Charlotte,United States,16.96,16.633
2000,Charlotte,United States,16.43,16.507
2001,Charlotte,United States,16.86,16.487
2002,Charlotte,United States,17.02,16.588
2003,Charlotte,United States,16.28,16.576
2004,Charlotte,United States,16.78,16.612
2005,Charlotte,United States,16.71,16.65
2006,Charlotte,United States,17.04,16.769
2007,Charlotte,United States,17.48,16.912
2008,Charlotte,United States,16.66,16.822
2009,Charlotte,United States,16.42,16.768
2010,Charlotte,United States,16.52,16.777
2011,Charlotte,United States,17.26,16.817
2012,Charlotte,United States,17.64,16.879
2013,Charlotte,United States,17.71,17.022